org,rand
Pseudomonas_putida_F1_uid13909,97640
Listeria_monocytogenes_SLCC2540_uid51731,25408
Bacillus_thuringiensis_YBT_1518_uid63189,32353
Salmonella_enterica_serovar_Thompson_RM6836_uid70669,89757
Escherichia_coli_O157H7_EDL933_uid259,16099
Staphylococcus_aureus_SA957_uid167119,97809
Yersinia_pestis_biovar_Medievalis_Harbin_35_uid30505,21169
Escherichia_coli_55989_uid33413,26367
Escherichia_coli_O157_H7_TW14359_uid30045,59913
Pseudomonas_aeruginosa_LESB58_uid31101,47583
Francisella_tularensis_holarctica_FSC200_uid16087,83572
Escherichia_coli__BL21_Gold_DE3_pLysS_AG__uid30681,13398
Salmonella_enterica_serovar_Typhimurium_SL1344_uid50407,82529
Pseudomonas_aeruginosa_PA1_uid185335,14487
Bacillus_subtilis_BSP1_uid166925,1477
Bacillus_thuringiensis_BMB171_uid43631,23613
Yersinia_pestis_Antiqua_uid16645,47850
Bacillus_amyloliquefaciens_plantarum_AS43_3_uid173409,7169
Bacillus_anthracis_A0248_uid33543,47754
Clostridium_phytofermentans_ISDg_uid16184,10462
Bacillus_anthracis_A16R_uid40353,37853
Escherichia_coli__clone_D_i14__uid52023,39886
Staphylococcus_aureus_ST228_10497_uid71345,77263
Bacillus_thuringiensis_HD_771_uid171845,42766
Listeria_monocytogenes_L312_uid51857,51624
Bacillus_subtilis_XF_1_uid175410,57836
Bacillus_subtilis_spizizenii_TU_B_10_uid68561,44819
Listeria_ivanovii_uid13441,45559
Shigella_dysenteriae_uid13145,21886
Pseudomonas_aeruginosa_uid331,88020
Yersinia_pestis_biovar_Microtus_91001_uid10638,20500
Bacillus_subtilis_BSn5_uid61191,12019
Escherichia_coli_O7_K1_CE10_uid63597,20333
Salmonella_bongori_NCTC_12419_uid351,8564
Salmonella_enterica_serovar_Newport_USMARC_S3124_1_uid51643,83800
Listeria_monocytogenes_serotype_1_2a_10_1047_uid167903,62408
Listeria_monocytogenes_HCC23_uid29409,40963
Listeria_monocytogenes_serotype_1_2c_SLCC2372_uid50377,82219
Bacillus_weihenstephanensis_KBAB4_uid13623,48297
Bacillus_cereus_AH820_uid17711,47706
Staphylococcus_aureus_Newman_uid18801,74291
Listeria_monocytogenes_SLCC5850_uid51861,28962
Bacillus_cereus_Q1_uid16220,43655
Pseudomonas_putida_NBRC_14164_uid171050,69582
Pseudomonas_putida_HB3267_uid171349,13622
Clostridium_acetobutylicum_EA_2018_uid50455,81533
Listeria_monocytogenes_SLCC2479_uid51829,32529
Salmonella_enterica_serovar_Heidelberg_B182_uid88529,52581
Salmonella_enterica_serovar_Paratyphi_A_AKU_12601_uid30943,87615
Pseudomonas_TKP_uid225946,64953
Listeria_monocytogenes_J1816_uid60535,65421
Staphylococcus_aureus_LGA251_uid62883,83303
Escherichia_coli_042_uid40647,44263
Clostridium_SY8519_uid67799,10169
Bacillus_megaterium_DSM319_uid42425,23633
Bacillus_amyloliquefaciens_Y2_uid78839,19141
Staphylococcus_aureus_MW2_uid306,90575
Bacillus_subtilis_uid76,79090
Listeria_seeligeri_serovar_1_2b_SLCC3954_uid41123,73666
Staphylococcus_aureus_Z172_uid222409,20788
Pseudomonas_putida_W619_uid17053,99169
Salmonella_enterica_serovar_Agona_24249_uid222376,72674
Bacillus_anthracis_Ames_uid309,81225
Clostridium_cf__saccharolyticum_K10_uid45855,51438
Francisella_tularensis_tularensis_uid9,24990
Bacillus_pseudofirmus_OF4_uid28811,35462
Bacillus_amyloliquefaciens_IT_45_uid73591,80424
Bacillus_toyonensis_BCT_7112_uid225857,39564
Salmonella_enterica_serovar_Paratyphi_B_SPB7_uid27803,62266
Pseudomonas_aeruginosa_M18_uid61423,86586
Listeria_monocytogenes_SLCC2378_uid51729,49099
Escherichia_coli_SMS_3_5_uid19469,85948
Escherichia_coli_CFT073_uid313,59890
Shigella_flexneri_5_8401_uid16375,31444
Staphylococcus_aureus_ED98_uid39547,88841
Staphylococcus_aureus_JH9_uid15757,93871
Clostridium_botulinum_B1_Okra_uid28505,64257
Salmonella_enterica_serovar_Gallinarum_287_91_uid30689,53664
Salmonella_enterica_serovar_Bovismorbificans_3114_uid217868,95826
Clostridium_acetobutylicum_DSM_1731_uid63241,45713
Listeria_monocytogenes_Finland_1988_uid17319,92199
Clostridium_botulinum_BKT015925_uid60407,19709
Escherichia_coli__clone_D_i2__uid52021,44910
Clostridium_perfringens_uid79,32948
Bacillus_thuringiensis_HD_789_uid171844,33227
Escherichia_coli_O26_H11_11368_uid32509,58341
Clostridium_clariflavum_DSM_19732_uid72805,73614
Listeria_monocytogenes_N53_1_uid177090,75646
Escherichia_coli_SE11_uid18057,82565
Escherichia_coli_APEC_O78_uid184588,62986
Shigella_flexneri_2a_2457T_uid408,7253
Bacillus_cereus_AH187_uid17715,22087
Bacillus_anthracis_CI_uid36309,43052
Escherichia_coli_O104_H4_2009EL_2071_uid81099,10517
Salmonella_enterica_Serovar_Typhimurium_var__5__CFSAN001921_uid184140,65751
Francisella_tularensis_TIGB03_uid64441,94684
Pseudomonas_aeruginosa_DK2_uid73815,90967
Bacillus_cereus_03BB102_uid31307,50237
Salmonella_enterica_serovar_Javiana_CFSAN001992_uid183458,93227
Bacillus_megaterium_QM_B1551_uid30165,23844
Francisella_tularensis_holarctica_FTNF002_00_uid20197,32915
Clostridium_botulinum_B_Eklund_17B_uid28857,22289
Clostridium_saccharobutylicum_DSM_13864_uid217481,11378
Clostridium_acidurici_9a_uid79221,18580
Clostridium_botulinum_A2_Kyoto_uid29859,52727
Bacillus_amyloliquefaciens_DSM7_uid41719,47951
Bacillus_amyloliquefaciens_LL3_uid64659,14458
Yersinia_pseudotuberculosis_PB1__uid28745,87745
Yersinia_pestis_KIM_10_uid288,87542
Shigella_boydii_Sb227_uid13146,57329
Escherichia_coli_W_uid48011,94243
Staphylococcus_aureus_ST398_uid29427,78769
Pseudomonas_stutzeri_A1501_uid16817,42584
Staphylococcus_aureus_T0131_uid65323,29880
Bacillus_amyloliquefaciens_plantarum_UCMB5113_uid214809,30057
Clostridium_botulinum_A_Hall_uid19521,75534
Bacillus_cereus_F837_76_uid15716,34204
Francisella_TX077308_uid67139,81111
Bacillus_subtilis_natto_BEST195_uid38027,72826
Salmonella_enterica_serovar_Newport_SL254_uid18747,53327
Francisella_tularensis_novicida_U112_uid16088,48832
Bacillus_subtilis_PY79_uid225627,88156
Escherichia_coli_O157_H7_EC4115_uid27739,45298
Bacillus_coagulans_36D1_uid15679,99204
Bacillus_1NLA3E_uid53255,27256
Bacillus_cereus_ATCC14579_uid384,18858
Escherichia_coli_LF82_uid33825,31312
Salmonella_enterica_serovar_Typhimurium_UK_1_uid63211,63208
Listeria_monocytogenes_10403S_uid17495,93134
Clostridium_perfringens_SM101_uid12521,86272
Escherichia_coli_E24377A_uid13960,71934
Clostridium_perfringens_ATCC_13124_uid304,50423
Pseudomonas_putida_S16_uid67881,55059
Pseudomonas_stutzeri_CCUG_29243_uid167996,6933
Staphylococcus_aureus_ST228_16125_uid71351,26149
Francisella_tularensis_holarctica_OSU18_uid17265,59383
Salmonella_enterica_Serovar_Cubana_CFSAN002050_uid184141,43605
Salmonella_enterica_serovar_Paratyphi_C_RKS4594_uid20993,40755
Pseudomonas_stutzeri_DSM_10701_uid78211,1273
Shigella_sonnei_uid78129,25322
Staphylococcus_aureus_aureus_MRSA252_uid265,70630
Clostridium_kluyveri_DSM_555_uid19065,91526
Escherichia_coli_JJ1886_uid218163,61276
Clostridium_difficile_R20291_uid38039,15294
Bacillus_cereus_NC7401_uid18977,13255
Escherichia_coli_O55_H7_RM12579_uid68245,40936
Bacillus_thuringiensis_Bt407_uid176850,29040
Clostridium_saccharoperbutylacetonicum_ATCC_27021_uid60605,29646
Clostridium_cellulovorans_743B_uid32609,24288
Pseudomonas_putida_UW4_uid170097,5897
Listeria_monocytogenes_FSL_R2_561_uid17317,61151
Yersinia_pseudotuberculosis_IP32953_uid12950,16819
Escherichia_coli_LY180_uid203308,54689
Bacillus_thuringiensis_serovar_IS5056_uid187142,78126
Salmonella_enterica_serovar_Typhi_Ty21a_uid34855,53986
Staphylococcus_aureus_08BA02176_uid174226,21362
Yersinia_pestis_Z176003_uid36547,68709
Bacillus_amyloliquefaciens_LFB112_uid225659,98376
Bacillus_anthracis_str_Sterne_uid10878,98907
Francisella_tularensis_NE061598_uid38289,90745
Shigella_flexneri_2a_301_uid310,57789
Staphylococcus_aureus_N315_uid264,29877
Francisella_noatunensis_orientalis_Toba_04_uid82619,56054
Listeria_monocytogenes_serotype_1_2a_88_0478_uid167889,14292
Staphylococcus_aureus_ST228_15532_uid71347,13869
Staphylococcus_aureus_RF122_uid63,52115
Listeria_monocytogenes_SLCC2376_uid51863,35577
Salmonella_enterica_serovar_Typhimurium_4_74_uid56087,81972
Yersinia_enterocolitica_palearctica_Y11_uid60483,27319
Pseudomonas_brassicacearum_NFM421_uid63495,10859
Bacillus_thuringiensis_serovar_finitimus_YBT_020_uid60447,36578
Escherichia_coli_O83_H1_NRG_857C_uid41221,76466
Listeria_monocytogenes_SLCC7179_uid51733,91749
Salmonella_enterica_serovar_Heidelberg_SL476_uid20045,17238
Bacillus_subtilis_RO_NN_1_uid68559,2091
Salmonella_enterica_arizonae_serovar_62_z4_z23__RSK2980_uid13030,84278
Pseudomonas_aeruginosa_PAO1_VE2_uid212861,91800
Escherichia_coli_ETEC_H10407_uid42749,426
Escherichia_coli_K_12_substr__MDS42_uid78215,58876
Escherichia_coli_O103_H2_12009_uid32511,87352
Staphylococcus_aureus_Mu50_uid263,13926
Bacillus_thuringiensis_MC28_uid167562,58395
Salmonella_typhimurium_DT104_uid221834,63559
Salmonella_enterica_Serovar_Heidelberg_CFSAN002069_uid184142,36834
Shigella_dysenteriae_1617_uid218020,36680
Bacillus_subtilis_QB928_uid172244,63737
Staphylococcus_aureus_uid71353,92065
Clostridium_acetobutylicum_uid77,67121
Salmonella_enterica_serovar_Heidelberg_41578_uid78477,92344
Yersinia_pestis_D106004_uid36507,76557
Escherichia_coli_O111_H__11128_uid32513,27719
Bacillus_anthracis_H9401_uid49361,90192
Clostridium_stercorarium_DSM_8532_uid180992,52627
Pseudomonas_putida_KT2440_uid267,73810
Yersinia_pseudotuberculosis_YPIII_uid28743,47199
Salmonella_enterica_serovar_Typhi_Ty2_uid371,72726
Escherichia_coli_C_ATCC_8739_uid18083,5912
Bacillus_subtilis_spizizenii_W23_uid38713,71109
Yersinia_enterocolitica_palearctica_105_5R_r__uid53341,91359
Bacillus_cellulosilyticus_DSM_2522_uid38423,45595
Listeria_monocytogenes_J0161_uid17493,11468
Bacillus_anthracis_CDC_684_uid31329,86956
Yersinia_pestis_Nepal516_uid16646,72039
Escherichia_coli_UMN026_uid33415,69820
Staphylococcus_aureus_Bmb9393_uid196937,98317
Clostridium_beijerinckii_NCIMB_8052_uid12637,66107
Clostridium_difficile_M120_uid42467,43269
Staphylococcus_aureus_uid71357,54695
Bacillus_amyloliquefaciens_XH7_uid67079,86284
Salmonella_enterica_serovar_4_5_12_i__08_1736_uid50689,62663
Salmonella_bongori_Sbon_167_uid168043,6144
Listeria_welshimeri_serovar_6b_SLCC5334_uid13443,64668
Staphylococcus_aureus_6850_uid216988,42023
Salmonella_enterica_serovar_Enteritidis_P125109_uid30687,10365
Escherichia_coli_O104_H4_2009EL_2050_uid81097,66841
Staphylococcus_aureus_Mu3_uid18509,46385
Pseudomonas_fluorescens_Pf0_1_uid12,79824
Listeria_monocytogenes_J1_220_uid60537,27983
Bacillus_cereus_G9842_uid17733,87454
Pseudomonas_stutzeri_RCH2_uid60029,19853
Francisella_tularensis_mediasiatica_FSC147_uid19571,66451
Escherichia_coli_536_uid16235,13070
Pseudomonas_cichorii_JBC1_uid232591,10460
Yersinia_pestis_CO92_uid34,15290
Pseudomonas_putida_BIRD_1_uid54033,30836
Pseudomonas_aeruginosa_MTB_uid225944,91933
Staphylococcus_aureus_aureus_MSSA476_uid266,33288
Pseudomonas_aeruginosa_NCGM2_S1_uid73453,176
Escherichia_coli_UM146_uid50883,13962
Pseudomonas_resinovorans_NBRC_106553_uid178156,41731
Escherichia_coli_BL21_DE3__uid20713,34372
Pseudomonas_putida_DOT_T1E_uid167844,16259
Francisella_philomiragia_ATCC_25017_uid27853,76663
Clostridium_thermocellum_ATCC_27405_uid314,24402
Escherichia_coli_Xuzhou21_uid45823,55306
Pseudomonas_monteilii_SB3078_uid231107,84163
Salmonella_enterica_serovar_Dublin_CT_02021853_uid19467,90646
Listeria_monocytogenes_serotype_1_2b_SLCC2755_uid50379,67428
Yersinia_pestis_Pestoides_F_uid16700,71263
Bacillus_licheniformis_DSM_13_uid13082,74045
Escherichia_coli_KO11FL_uid33875,52322
Salmonella_enterica_serovar_Pullorum_S06004_uid191133,51491
Escherichia_coli_BL21_DE3__uid28965,13513
Salmonella_enterica_serovar_Agona_SL483_uid20063,82163
Clostridium_saccharolyticum_WM1_uid42097,65317
Yersinia_pestis_Angola_uid16067,55224
Clostridium_novyi_NT_uid16820,56383
Pseudomonas_aeruginosa_c7447m_uid209859,75810
Escherichia_coli_IAI39_uid33411,67387
Bacillus_amyloliquefaciens_FZB42_uid13403,85316
Clostridium_difficile_CD196_uid38037,1235
Pseudomonas_fluorescens_F113_uid76715,59159
Bacillus_cereus_FRI_35_uid171769,67580
Bacillus_amyloliquefaciens_CC178_uid224754,89957
Escherichia_coli_B_REL606_uid18281,71934
Staphylococcus_aureus_JH1_uid15758,13473
Staphylococcus_aureus_USA300_FPR3757_uid16313,55019
Shigella_sonnei_Ss046_uid13151,60356
Bacillus_amyloliquefaciens_plantarum_UCMB5036_uid190092,49706
Pseudomonas_VLB120_uid178195,52726
Bacillus_thuringiensis_Al_Hakam_uid18255,56681
Staphylococcus_aureus_ST228_16035_uid71349,63091
Salmonella_enterica_serovar_Gallinarum_RKS5078_uid72821,8938
Escherichia_coli_P12b_uid59455,3590
Bacillus_infantis_NRRL_B_14911_uid212797,1380
Clostridium_difficile_2007855_uid42471,30532
Clostridium_botulinum_A_ATCC_19397_uid19517,74708
Staphylococcus_aureus_SA40_uid167373,91484
Escherichia_coli_O55_H7_CB9615_uid42729,55568
Bacillus_anthracis_Ames_0581_uid10784,98099
Pseudomonas_entomophila_L48_uid16800,64000
Pseudomonas_syringae_tomato_DC3000_uid359,96507
Yersinia_enterocolitica_8081_uid190,50186
Clostridium_sticklandii_DSM_519_uid28575,85970
Escherichia_coli_DH1_uid30031,51504
Escherichia_coli_K_12_substr__MG1655_uid225,44459
Staphylococcus_aureus_55_2053_uid34891,47405
Bacillus_licheniformis_ATCC_14580_uid12388,9489
Escherichia_coli_UTI89_uid16259,18773
Bacillus_thuringiensis_serovar_chinensis_CT_43_uid43737,80958
Shigella_flexneri_2002017_uid33639,56995
Bacillus_amyloliquefaciens_uid76795,32134
Salmonella_typhi_uid236,92813
Staphylococcus_aureus_M013_uid78007,6262
Escherichia_coli_O104_H4_2011C_3493_uid81095,17135
Salmonella_enterica_serovar_Typhi_P_stx_12_uid80939,27187
Escherichia_coli_ED1a_uid33409,35483
Pseudomonas_aeruginosa_B136_33_uid185969,73552
Clostridium_difficile_BI1_uid42469,79801
Listeria_monocytogenes_serotype_7_SLCC2482_uid50371,16351
Pseudomonas_mendocina_NK_01_uid64797,34079
Salmonella_enterica_serovar_Typhimurium_uid40625,2818
Pseudomonas_fluorescens_A506_uid67529,75310
Staphylococcus_aureus_ED133_uid41277,294
Clostridium_autoethanogenum_DSM_10061_uid219420,88807
Escherichia_coli_KO11FL_uid62299,28163
Clostridium_lentocellum_DSM_5427_uid41511,11261
Staphylococcus_aureus_11819_97_uid78269,98889
Listeria_monocytogenes_08_5923_uid36363,55014
Clostridium_tetani_E88_uid81,89425
Listeria_monocytogenes_serotype_4b_LL195_uid179063,7838
Clostridium_botulinum_A_uid193,22708
Escherichia_coli_IHE3034_uid43693,99853
Escherichia_coli_HS_uid13959,25752
Escherichia_coli_O157H7_uid226,55833
Listeria_monocytogenes_4b_F2365_uid85,82156
Salmonella_enterica_serovar_Typhimurium_14028S_uid33067,59655
Escherichia_coli_0127_H6_E2348_69_uid32571,72528
Staphylococcus_aureus_uid71279,39415
Bacillus_cereus_ZK_uid12468,38540
Pseudomonas_syringae_pv_B728a_uid323,47134
Yersinia_pestis_D182038_uid36545,70458
Staphylococcus_aureus_ST398_uid66999,70166
Escherichia_coli_c321D_uid215084,15354
Listeria_monocytogenes_uid36361,64021
Bacillus_subtilis_BAB_1_uid192249,19877
Bacillus_tusciae_DSM_2912_uid31345,68444
Salmonella_enterica_Paratypi_ATCC_9150_uid13086,44019
Bacillus_subtilis_BEST7613_uid183920,37482
Clostridium_botulinum_E3_Alaska_E43_uid28855,67846
Escherichia_coli_DH1_uid52077,7049
Staphylococcus_aureus_VC40_uid66591,89991
Escherichia_coli_ABU_83972_uid38725,48830
Clostridium_botulinum_H04402_065_uid61511,74366
Bacillus_licheniformis_9945A_uid49115,86731
Salmonella_enterica_Choleraesuis_uid9618,29824
Pseudomonas_fluorescens_SBW25_uid31229,53142
Bacillus_cereus_ATCC_10987_uid74,31250
Clostridium_difficile_CF5_uid42465,60605
Pseudomonas_denitrificans_ATCC_13867_uid189431,76627
Clostridium_botulinum_F_230613_uid47575,46300
Escherichia_coli_W_uid62301,90785
Listeria_monocytogenes_Clip81459_uid32207,84393
Bacillus_atrophaeus_1942_uid46075,96307
Staphylococcus_aureus_MSHR1132_uid62885,46297
Francisella_noatunensis_orientalis_LADL_07_285A_uid210898,29062
Pseudomonas_poae_RE_1_1_14_uid186492,44821
Salmonella_enterica_serovar_Gallinarum_Pullorum_CDC1983_67_uid173203,75178
Bacillus_amyloliquefaciens_TA208_uid64581,44902
Pseudomonas_putida_H8234_uid202087,29030
Pseudomonas_ND6_uid162897,46300
Francisella_cf__novicida_3523_uid62753,33372
Salmonella_enterica_serovar_Typhimurium_U288_uid157919,65044
Pseudomonas_aeruginosa_PA7_uid16720,26819
Pseudomonas_aeruginosa_PAO581_uid209856,69003
Escherichia_coli_NA114_uid66975,96514
Staphylococcus_aureus_JKD6159_uid50759,4160
Bacillus_selenitireducens_MLS10_uid13376,20307
Listeria_innocua_uid86,4275
Bacillus_thuringiensis_konkukian_uid10877,83485
Escherichia_coli_IAI1_uid33373,14281
